Arquivo,MinRGB,MaxRGB,Blur,BlockSize,C,OCR,Esperado,Sucesso
10-31-41_frame_003039.jpg,205,240,1,9,4,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,9,4,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,9,4,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,9,5,"70 S400""",10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,9,5,Vosges,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,9,5,(O° :33:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,9,5,TUS2. 55,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,9,5,TO3154,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,9,5,TO S744,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,9,5,TOSi15,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,9,5,tO Sii4t,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,9,5,TOS a,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,9,5,TOSi15,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,11,-3,20:84:07,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,11,-3,10:33:77,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,11,-3,10°33°08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,11,-3,10:32:88,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,11,-3,10231281,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,11,-3,26231°41,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,11,-3,10:31:18,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,11,-3,26231°41,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,11,-3,10:33:97,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,11,-3,10:31:18,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,11,-2,20:34:07,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,11,-2,10:33:77,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,11,-2,10:33:08,10:33:08,True
10-32-59_frame_005378.jpg,205,240,1,11,-2,16:32:88,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,11,-2,10239381,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,11,-2,26231241,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,11,-2,10:31:18,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,11,-2,26231241,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,11,-2,10:33: 9%,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,11,-2,10:31:18,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,11,-1,20:34:67,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,11,-1,10:33:72,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,11,-1,10:83:08,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,11,-1,10:32:68,10:32:59,False
10-31-51_frame_003364.jpg,205,240,1,11,-1,10:87:89,10:31:51,False
10-31-41_frame_003040.jpg,205,240,1,11,-1,26:89:41,10:31:41,False
10-31-15_frame_002261.jpg,205,240,1,11,-1,10:31:18,10:31:15,False
10-31-41_frame_003039.jpg,205,240,1,11,-1,26:89:47,10:31:41,False
10-33-11_frame_005667.jpg,205,240,1,11,-1,10:33:97,10:33:11,False
10-31-15_frame_002260.jpg,205,240,1,11,-1,10:31:18,10:31:15,False
10-34-01_frame_006876.jpg,205,240,1,11,0,20:84:07,10:34:01,False
10-33-11_frame_005657.jpg,205,240,1,11,0,10:33:77,10:33:11,False
10-33-08_frame_005567.jpg,205,240,1,11,0,10239208,10:33:08,False
10-32-59_frame_005378.jpg,205,240,1,11,0,18:32:68,10:32:59,False
