Arquivo,Esperado,Lido,Sucesso
10-31-30_frame_002709.jpg,10:31:30,10:31:30,True
10-31-31_frame_002739.jpg,10:31:31,10:31:31,True
10-31-32_frame_002769.jpg,10:31:32,10:31:32,True
10-31-33_frame_002799.jpg,10:31:33,10:31:33,True
10-31-34_frame_002829.jpg,10:31:34,10:31:34,True
10-31-35_frame_002859.jpg,10:31:35,10:31:35,True
10-31-36_frame_002888.jpg,10:31:36,10:31:36,True
10-31-37_frame_002919.jpg,10:31:37,10:31:37,True
10-31-38_frame_002949.jpg,10:31:38,10:31:38,True
10-31-39_frame_002980.jpg,10:31:39,10:31:39,True
10-31-40_frame_003008.jpg,10:31:40,10:31:40,True
10-31-41_frame_003040.jpg,10:31:41,10:34:41,False
10-31-42_frame_003071.jpg,10:31:42,10:31:42,True
10-31-43_frame_003098.jpg,10:31:43,10:31:43,True
10-31-45_frame_003158.jpg,10:31:45,10:31:45,True
10-31-46_frame_003188.jpg,10:31:46,10:31:46,True
10-31-47_frame_003218.jpg,10:31:47,10:31:47,True
10-31-48_frame_003248.jpg,10:31:48,10:31:48,True
10-31-49_frame_003279.jpg,10:31:49,10:31:49,True
10-31-50_frame_003308.jpg,10:31:50,10:31:50,True
10-31-51_frame_003364.jpg,10:31:51,10:31:57,False
10-31-52_frame_003370.jpg,10:31:52,10:31:52,True
10-31-53_frame_003398.jpg,10:31:53,10:31:53,True
10-31-54_frame_003428.jpg,10:31:54,10:31:54,True
10-31-55_frame_003458.jpg,10:31:55,10:31:55,True
10-31-56_frame_003488.jpg,10:31:56,10:31:56,True
10-31-57_frame_003519.jpg,10:31:57,10:31:57,True
10-31-58_frame_003553.jpg,10:31:58,10:31:58,True
10-31-59_frame_003580.jpg,10:31:59,10:31:59,True
10-32-00_frame_003609.jpg,10:32:00,10:32:00,True
10-32-01_frame_003640.jpg,10:32:01,10:32:01,True
10-32-02_frame_003668.jpg,10:32:02,10:32:02,True
10-32-03_frame_003698.jpg,10:32:03,10:32:03,True
10-32-04_frame_003728.jpg,10:32:04,10:32:04,True
10-32-05_frame_003760.jpg,10:32:05,10:32:05,True
10-32-06_frame_003789.jpg,10:32:06,10:32:06,True
10-32-07_frame_003820.jpg,10:32:07,10:32:07,True
10-32-08_frame_003849.jpg,10:32:08,10:32:08,True
10-32-09_frame_003879.jpg,10:32:09,10:32:09,True
10-32-10_frame_003910.jpg,10:32:10,10:32:10,True
10-32-11_frame_003939.jpg,10:32:11,10:32:11,True
10-32-12_frame_003969.jpg,10:32:12,10:32:12,True
10-32-13_frame_003998.jpg,10:32:13,10:32:13,True
10-32-15_frame_004059.jpg,10:32:15,10:32:15,True
10-32-16_frame_004088.jpg,10:32:16,10:32:16,True
10-32-17_frame_004118.jpg,10:32:17,10:32:17,True
10-32-18_frame_004151.jpg,10:32:18,10:32:18,True
10-32-19_frame_004179.jpg,10:32:19,10:32:19,True
10-32-20_frame_004209.jpg,10:32:20,10:32:20,True
10-32-21_frame_004240.jpg,10:32:21,10:32:21,True
10-32-22_frame_004268.jpg,10:32:22,10:32:22,True
10-32-23_frame_004299.jpg,10:32:23,10:32:23,True
10-32-24_frame_004332.jpg,10:32:24,10:32:24,True
10-32-25_frame_004362.jpg,10:32:25,10:32:25,True
10-32-26_frame_004389.jpg,10:32:26,10:32:26,True
10-32-27_frame_004418.jpg,10:32:27,10:32:27,True
10-32-28_frame_004449.jpg,10:32:28,10:32:28,True
10-32-29_frame_004479.jpg,10:32:29,10:32:29,True
10-32-30_frame_004510.jpg,10:32:30,10:32:30,True
10-32-31_frame_004538.jpg,10:32:31,10:32:31,True
