Frame,Timestamp,RawText
frame_000001.png,10:33:59,"10:33:59
"
frame_000004.png,10:33:59,"10:33:59
"
frame_000009.png,10:33:59,"10:33:59
"
frame_000003.png,10:33:59,"10:33:59
"
frame_000007.png,10:33:59,"10:33:59
"
frame_000002.png,10:33:59,"10:33:59
"
frame_000005.png,10:33:59,"10:33:59
"
frame_000011.png,10:34:00,"10:34:00
"
frame_000006.png,10:33:59,"10:33:59
"
frame_000012.png,10:34:00,"10:34:00
"
frame_000015.png,10:34:00,"10:34:00
"
frame_000010.png,10:33:59,"10:33:59
"
frame_000014.png,10:34:00,"10:34:00
"
frame_000008.png,10:33:59,"10:33:59
"
frame_000013.png,10:34:00,"10:34:00
"
frame_000019.png,10:34:00,"10:34:00
"
frame_000022.png,10:34:00,"10:34:00
"
frame_000017.png,10:34:00,"10:34:00
"
frame_000018.png,10:34:00,"10:34:00
"
frame_000020.png,10:34:00,"10:34:00
"
frame_000016.png,10:34:00,"10:34:00
"
frame_000021.png,10:34:00,"10:34:00
"
frame_000025.png,10:34:00,"10:34:00
"
frame_000023.png,10:34:00,"10:34:00
"
frame_000024.png,10:34:00,"10:34:00
"
frame_000027.png,10:34:00,"10:34:00
"
frame_000026.png,10:34:00,"10:34:00
"
frame_000028.png,10:34:00,"10:34:00
"
frame_000029.png,10:34:00,"10:34:00
"
frame_000030.png,10:34:00,"10:34:00
"
frame_000031.png,10:34:00,"10:34:00
"
frame_000033.png,10:34:00,"10:34:00
"
frame_000036.png,10:34:01,"10:34:01
"
frame_000034.png,10:34:00,"10:34:00
"
frame_000032.png,10:34:00,"10:34:00
"
frame_000038.png,10:34:01,"10:34:01
"
frame_000037.png,10:34:01,"10:34:01
"
frame_000035.png,10:34:01,"10:34:01
"
frame_000041.png,10:34:01,"10:34:01
"
frame_000039.png,10:34:01,"10:34:01
"
frame_000044.png,10:34:01,"10:34:01
"
frame_000043.png,10:34:01,"10:34:01
"
frame_000042.png,10:34:01,"10:34:01
"
frame_000040.png,10:34:01,"10:34:01
"
frame_000045.png,10:34:01,"10:34:01
"
frame_000046.png,10:34:01,"10:34:01
"
frame_000048.png,10:34:01,"10:34:01
"
frame_000049.png,10:34:01,"10:34:01
"
frame_000047.png,10:34:01,"10:34:01
"
frame_000053.png,10:34:01,"10:34:01
"
frame_000050.png,10:34:01,"10:34:01
"
frame_000051.png,10:34:01,"10:34:01
"
frame_000054.png,10:34:01,"10:34:01
"
frame_000052.png,10:34:01,"10:34:01
"
frame_000055.png,10:34:01,"10:34:01
"
frame_000057.png,10:34:01,"10:34:01
"
frame_000059.png,10:34:01,"10:34:01
"
frame_000056.png,10:34:01,"10:34:01
"
frame_000060.png,10:34:01,"10:34:01
"
frame_000061.png,10:34:02,"10:34:02
"
